Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Fraud_Flag,Loan_Status,Total_Income,Debt_Income_Ratio,EMI,Income_Stability,Risk_Score
Male,Yes,0.0,Graduate,No,5661.752891773433,13.1175771630147,111.4486425904196,359.33115926349,0.9981867550663494,Urban,0,Approved,5648.6353146104175,0.0197301890426796,0.3101557983973682,1,0.0068256791796292
Male,Yes,1.0,Graduate,No,3107.481901401901,1518.399968538758,127.2047971419449,359.0360457526948,0.9934764691215076,Urban,1,Rejected,4625.881869940658,0.0274984966582332,0.354295337882492,1,0.2115113144367162
Male,Yes,2.0,Graduate,No,4987.883524365434,1829.069671410862,208.5828114954026,359.7814071320316,0.9953104124298398,Urban,0,Approved,6816.953195776296,0.0305976593215629,0.5797487234209896,1,0.0115240915815489
Male,Yes,2.0,Graduate,No,2325.78423014081,2575.383981592292,99.48286892709244,359.1749562095914,0.9989735660558097,Urban,0,Rejected,4901.168211733102,0.0202977871049062,0.2769760731008223,1,0.0081219094297322
Male,No,0.0,Not Graduate,No,3094.488002043696,25.05683572980178,78.22293705633716,359.5873640516792,1.0,Urban,0,Rejected,3069.431166313894,0.0254845060266576,0.217535277588606,1,0.0058063625633243
Male,Yes,0.0,Not Graduate,Yes,2122.735019367274,3437.7822574871,152.3702502906947,359.5008397803152,1.0,Urban,0,Rejected,5560.517276854374,0.0274021719031312,0.4238383709584811,0,0.0052473298920638
Female,No,1.0,Not Graduate,No,2234.292167121967,4.698683731071053,58.24558409053741,360.3864591381368,0.999840875642532,Semiurban,0,Rejected,2238.990850853038,0.026014212638853,0.1616197906820127,1,0.0078838259703899
Male,Yes,2.0,Not Graduate,No,3953.212362009443,67.11363659010786,146.9790166667791,359.4071989012548,0.0,Rural,0,Rejected,3886.098725419335,0.0378217402726738,0.4089484493246358,1,0.5117917758412932
Male,Yes,2.0,Graduate,No,13634.25167832327,1.923457751345209,279.8253590129881,238.7351956463896,0.99366125301576,Urban,0,Approved,13636.175136074617,0.0205208099940508,1.1721160688324337,0,0.0093256164903352
Male,No,0.0,Not Graduate,No,2454.18162122286,2362.578626563808,123.0962938257823,359.9567164902986,0.9963311947216006,Semiurban,0,Rejected,4816.760247786668,0.0255558274635624,0.3419752658764458,1,0.0095011508782684
Male,No,0.0,Not Graduate,No,2969.897220846001,3.474866858198718,90.55197908404013,360.667478063032,1.0,Urban,0,Rejected,2973.3720877042,0.0304543045448298,0.25106776904408,1,0.0079266287854598
Male,Yes,1.0,Graduate,No,2193.687902420339,1510.267163612042,162.3009792426538,360.7981188888307,1.0,Semiurban,1,Rejected,3703.955066032381,0.0438182905432781,0.4498387623042515,0,0.211992520214798
Male,No,3.0,Graduate,No,4200.198496508332,16.86175387572755,40.1106862588362,180.0167637814951,0.9989735660558097,Urban,0,Rejected,4183.336742632605,0.0095882040405846,0.2228163945193609,1,0.0081219094297322
Male,Yes,2.0,Graduate,No,12111.29566766009,6.546805595168935,166.1358557396416,359.9964067356733,0.0013552748242233,Semiurban,0,Approved,12104.74886206492,0.0137248494481611,0.461493094461986,0,0.5034398174223367
Female,No,0.0,Graduate,No,4681.763361696359,10.02459951982087,123.643709365846,360.3444659757761,0.9987639806922644,Semiurban,0,Rejected,4671.738762176538,0.0264663149332949,0.3431264277391674,1,0.0085579041338563
Male,No,1.0,Graduate,No,5673.726966646851,7.589795557945062,130.6268323889763,359.4470216751076,0.9971088346428028,Urban,0,Approved,5666.137171088906,0.0230539481210393,0.3634105292630457,1,0.0083617671149104
Male,Yes,2.0,Graduate,No,4562.487715336348,2910.524729612642,200.2528626002321,360.4879605144145,0.996267272724752,Urban,0,Approved,7473.01244494899,0.0267968057159576,0.555504994714587,1,0.0099054053524112
Male,Yes,3.0,Graduate,No,3779.711552878479,323.2516140893205,126.4139786565818,359.3886103195027,1.0,Semiurban,0,Rejected,4102.963166967799,0.0308104103089,0.3517473148194585,1,0.006754637564443
Male,Yes,0.0,Graduate,No,9193.284215545746,7905.272022679714,299.89904607724,360.177219070088,0.999822282742504,Urban,0,Approved,17098.556238225457,0.0175394367745966,0.8326430162671719,1,0.005350689661127
Male,No,0.0,Graduate,No,1238.649365915616,3438.338920338319,99.36837219232144,179.8848163683644,0.9987478892130952,Semiurban,0,Rejected,4676.988286253935,0.0212462307173985,0.5523999979455573,1,0.0069999246086719
Male,Yes,1.0,Not Graduate,No,1938.815395616673,1588.685756759207,48.36013923634256,360.2710121469844,0.997736557023276,Urban,0,Rejected,3527.50115237588,0.0137094609320738,0.1342326682020491,1,0.0052445597679841
Female,No,3.0,Not Graduate,No,2076.918849782314,6.464707513429513,28.78820138655864,180.7181986250899,1.0,Urban,0,Rejected,2070.4541422688844,0.0139042931687496,0.1592988509490479,1,0.0034972649248334
Male,No,0.0,Graduate,No,3959.72710213085,29.39676100708981,101.2994268592733,359.9821708874051,0.995826101460109,Urban,0,Rejected,3930.33034112376,0.0257737691408172,0.2814012333154067,1,0.0098190800121906
Female,No,0.0,Not Graduate,No,3681.91314942843,6.187911422372882,124.9307693918981,359.3980685053027,1.0,Urban,0,Rejected,3675.725238006057,0.0339880598528273,0.3476111318891376,1,0.0076560712582557
Male,Yes,0.0,Graduate,No,5390.972151935391,4409.589247291212,290.3422766610857,359.8194768588691,0.9917382977118822,Urban,0,Approved,9800.561399226604,0.0296250658338814,0.8069109521132614,1,0.0130183708942233
Male,Yes,2.0,Graduate,No,4354.432643009215,1248.049549829875,140.66467548693,360.0531652083495,0.9989735660558097,Urban,0,Approved,5602.48219283909,0.0251075631559745,0.3906775139875038,1,0.0081219094297322
Male,Yes,0.0,Graduate,No,7565.108897738477,3729.821253444865,273.8079091506714,360.1602837679686,1.0,Urban,0,Approved,11294.930151183342,0.0242416646659815,0.7602390421456651,1,0.006971147563424
Male,Yes,0.0,Graduate,No,3644.946265341984,797.7341074755943,56.07437956150763,361.109446635213,0.9989735660558097,Semiurban,0,Rejected,4442.680372817578,0.0126217451754119,0.1552836129987845,1,0.0081219094297322
Male,No,0.0,Graduate,No,2949.548052845751,2336.453095443133,124.9024954492104,179.4747973728271,1.0,Urban,0,Approved,5286.001148288884,0.0236289194696149,0.6959333414916613,1,0.0068213839220844
Female,No,0.0,Not Graduate,No,2562.168761538473,10.30298331692648,75.67029078969728,360.0730830879738,0.9989944102229572,Semiurban,0,Rejected,2551.8657782215464,0.0296529274523339,0.2101525894153253,1,0.0093986731242215
Male,Yes,2.0,Graduate,No,6247.771311557744,825.142886551709,192.2903168542435,359.5043694298672,1.0,Urban,0,Approved,7072.9141981094535,0.0271868584105886,0.5348761606408121,1,0.0078931983684825
Male,No,0.0,Graduate,No,3292.044399384268,1677.357683476592,152.0980768659583,360.4845133093007,1.0,Semiurban,0,Rejected,4969.40208286086,0.0306069169549661,0.4219267992116378,1,0.0061694277306513
Male,Yes,0.0,Graduate,No,2816.061222111809,2689.024142808508,157.4981165452074,359.9642555697912,1.0,Urban,0,Approved,5505.085364920316,0.0286095684453545,0.4375382113868556,1,0.0076728695405363
Male,Yes,0.0,Graduate,No,2695.000982244258,1522.378082519097,102.2446816176905,359.67486465905,0.9978713708222664,Urban,1,Rejected,4217.379064763355,0.0242436546602973,0.2842697437715373,1,0.208337410986956
Male,No,0.0,Graduate,No,3182.781287116441,0.3091804371439837,176.0377646461219,360.1687084729076,0.0,Semiurban,0,Rejected,3183.090467553585,0.0553040406612817,0.4887647385929522,1,0.516692442938423
Male,Yes,2.0,Graduate,No,7292.737276578562,4000.121730374141,185.7818638003041,180.7329764171705,0.9989905681742124,Urban,0,Approved,11292.859006952704,0.0164512692211886,1.0279356179664727,0,0.0054400966792504
Male,Yes,0.0,Graduate,Yes,2238.271664611538,2805.212164354965,90.12167994582794,360.6236830682229,1.0,Urban,0,Approved,5043.483828966503,0.0178689340547157,0.2499050511022003,0,0.0050161950153247
Male,No,0.0,Graduate,Yes,5880.517859540684,1.965899074068528,116.1929788945943,358.6011608178814,0.9974221292556298,Urban,0,Approved,5878.551960466616,0.0197655782709746,0.324017297182158,0,0.0072186088534774
Male,No,0.0,Graduate,No,3650.152736240198,1969.86401370139,138.5136577499827,359.3788456044167,0.9977903225153896,Urban,0,Approved,5620.016749941588,0.0246464848617083,0.3854251841591435,1,0.0084987842008177
Male,Yes,0.0,Graduate,No,5708.395480598777,837.9768477144297,100.3386831972256,360.4418782002634,0.996780592277388,Urban,0,Approved,6546.372328313207,0.0153273718885891,0.2783768736813565,1,0.0062079154278827
Female,No,0.0,Graduate,No,3640.820069637292,7.395311446047131,110.1495134551621,361.1813742724466,1.0,Urban,0,Rejected,3648.2153810833393,0.0301927112160941,0.3049700823500218,1,0.0046973280349767
Male,Yes,0.0,Not Graduate,No,1838.95939225101,2004.580938032592,89.14773009677255,360.8089317406513,1.0,Semiurban,0,Rejected,3843.540330283602,0.0231941705917249,0.2470773926429619,1,0.0031888374158525
Male,No,0.0,Graduate,No,6435.78062952781,2596.081241164872,201.0375260185544,359.7887174307408,1.0,Semiurban,0,Approved,9031.861870692685,0.0222587024576734,0.5587655095306151,1,0.005433484528123
Female,No,0.0,Graduate,No,3700.400099769052,1.269156457792208,84.62970286836749,360.1796376833857,1.0,Urban,0,Rejected,3701.669256226844,0.0228625782073873,0.234965261814053,1,0.0031807466378597
Male,Yes,0.0,Graduate,No,4297.43062107942,3900.959871592503,184.5281326315859,359.91170235123843,0.9989735660558097,Urban,0,Approved,8198.390492671922,0.0225078486803629,0.3638372331663453,1,0.0081219094297322
Male,Yes,0.0,Not Graduate,No,4247.037253177968,1457.155529355328,162.0276978007321,358.9579357243606,1.0,Urban,0,Rejected,5704.192782533296,0.0284050178487785,0.4513835234587241,1,0.0052984927910986
Male,No,0.0,Not Graduate,No,2393.219031176892,1892.891867350015,107.2289307747835,360.5762496205463,1.0,Semiurban,0,Rejected,4286.110898526907,0.0250177686283472,0.2973821234416472,1,0.0069990798481356
Male,No,0.0,Graduate,No,6739.939670809587,3322.489778727241,187.2213753956184,359.91170235123843,1.0,Urban,0,Approved,10062.429449536829,0.0186059814217366,0.3638372331663453,1,0.0042066775744105
Male,Yes,3.0,Not Graduate,Yes,8028.778923622254,293.5777723785143,188.1449204588754,358.9049671360889,1.0,Semiurban,0,Rejected,8322.356696000768,0.0226071685378838,0.5242193273617608,0,0.0052634686720911
Male,Yes,1.0,Graduate,No,2333.61898764419,1739.109492491944,123.3589027077085,360.017673834688,0.99785668663046,Urban,1,Rejected,4072.728480136134,0.0302890073102995,0.3426467967357405,1,0.2101583588778598
Male,Yes,3.0,Not Graduate,No,3477.813833235278,807.4976805674173,119.4082801717911,359.9832461439688,1.0,Semiurban,0,Rejected,4285.311513802695,0.0278645507537048,0.331705104198199,1,0.0071642155607374
Male,Yes,1.0,Graduate,No,3455.5791152748,3046.459961029412,161.2949931080581,360.640336464195,1.0,Semiurban,0,Approved,6502.039076304212,0.0248068323206293,0.4472461252932303,1,0.0066052225364582
Male,Yes,2.0,Graduate,No,4068.775516526393,998.739758277636,29.27278180323079,179.5851838194114,0.9976083974292624,Urban,0,Approved,5067.515274804029,0.0057765552180526,0.163002209762845,1,0.0029287678507845
Male,Yes,0.0,Not Graduate,Yes,5275.0977206144,8.862095230111219,91.44473686859746,358.6133218808619,1.0,Urban,0,Rejected,5283.959815844512,0.0173060999810011,0.2549953704703059,0,0.0036177877166323
Male,No,0.0,Graduate,No,2665.724423059245,37.09381898799499,129.9674134858182,359.5710003854408,0.0,Urban,0,Rejected,2628.63060407125,0.0494430116139267,0.3614513221213616,1,0.5148768309595495
Female,No,0.0,Not Graduate,No,4402.145251357191,1.005050531594936,130.3334395138589,360.4830684966584,1.0,Rural,0,Rejected,4401.140200825596,0.0296135622967452,0.3615521806818704,1,0.006143120952876
Male,Yes,2.0,Graduate,No,3585.617250456939,3576.41320218241,133.3754249443896,178.7975219995964,0.9948046105593356,Semiurban,0,Approved,7162.030452639348,0.018622571605408,0.745957905080422,1,0.0081844662019546
Female,Yes,2.0,Graduate,No,2848.077420467287,3635.440314650011,175.0042517995702,361.1957253807026,0.0,Semiurban,0,Approved,6483.517735117298,0.0269921759990996,0.4845136293213731,1,0.512234217193895
Male,Yes,3.0,Graduate,No,4659.052599907184,15.04436770335857,90.75667282343176,178.5865831112993,0.9958651091120904,Semiurban,0,Rejected,4644.008232203826,0.0195427458965469,0.50819423969196,1,0.0079302692129189
Male,Yes,0.0,Not Graduate,No,2381.23279540469,1722.893750064909,110.2644495677998,358.9293846436096,1.0,Semiurban,0,Rejected,4104.126545469599,0.0268667275110015,0.3072037405833581,1,0.0067210617485454
Male,Yes,0.0,Graduate,Yes,7050.837983784184,307.2628808396852,125.609705772263,359.5928992488302,1.0,Urban,0,Approved,7358.100864623869,0.017070941005466,0.3493108624632321,0,0.0042296687237408
